policy/KLBefore,Evaluation/MinReturn,PolicyExecTime,policy/Entropy,TotalEnvSteps,Evaluation/MaxReturn,policy/LossAfter,ProcessExecTime,policy/LossBefore,Evaluation/AverageDiscountedReturn,Evaluation/StdReturn,policy/KL,policy/dLoss,Evaluation/NumTrajs,LinearFeatureBaseline/ExplainedVariance,Extras/EpisodeRewardMean,EnvExecTime,policy/Perplexity,Evaluation/Iteration,Evaluation/AverageReturn,Evaluation/CompletionRate
0.0,-22000.0,0.48435354232788086,2.8103292713994565,1012,-38.91083114707684,-0.052731867879629135,0.0273895263671875,8.952476093782025e-09,-4486.250802872637,6258.048088637899,0.009962494,0.05273187683210523,92,-1.657409653965658e-08,-4486.250802872637,0.3238656520843506,16.615388290323093,0,-4486.250802872637,0.0
0.0,-19380.409027082314,0.30893468856811523,2.791527307080657,2024,-37.85080431049263,-0.046441756188869476,0.02996516227722168,1.7669361529470962e-09,-2611.710977893293,4580.047694011098,0.0066813324,0.04644175795580563,92,0.13976627921739682,-2588.6527425966597,0.2516021728515625,16.305904917381252,1,-2611.710977893293,0.0
0.0,-10280.750214906118,0.3153824806213379,2.7580187650537304,3036,-47.16415874845922,-0.03925810754299164,0.032826900482177734,5.701313909867167e-08,-909.6850890772076,1891.656377088201,0.009218131,0.03925816455613074,92,-0.6779566428011594,-897.5659215855278,0.25671958923339844,15.76857073629471,2,-909.6850890772076,0.0
0.0,-10027.196823113994,0.28048086166381836,2.745800395256917,4048,-47.10351157783478,-0.0350155383348465,0.027867794036865234,-6.832153065516877e-09,-684.4494761922522,1818.9144632164791,0.0069999145,0.03501553150269343,92,0.14361772907408976,-716.1690318915956,0.24325108528137207,15.577076762281344,3,-684.4494761922522,0.0
0.0,-8064.812214957374,0.29744863510131836,2.721291281960227,5060,-46.21366514149796,-0.03494700789451599,0.029120922088623047,2.82709766707967e-09,-604.589389712919,1394.914209502497,0.0066092405,0.03494701072161366,92,0.18089260851728817,-562.6121194386895,0.24576234817504883,15.199936982572176,4,-604.589389712919,0.0
0.0,-8036.826705161356,0.28860950469970703,2.6596132059813486,6072,-51.54661955064868,-0.03974318504333496,0.029663801193237305,2.7681998915340955e-08,-311.09759321789437,992.4404881328975,0.008931617,0.039743212725333876,92,-0.3670018318047452,-424.43037178127224,0.24886131286621094,14.290760448858592,5,-311.0975932178944,0.0
0.0,-3329.434711346801,0.33322572708129883,2.638309041501976,7084,-44.75511997868249,-0.026156174018979073,0.03178262710571289,-5.65419533415934e-09,-156.37366254213265,456.3320269129057,0.008911843,0.02615616836478374,92,-0.06722086282487649,-149.51352722380346,0.2683143615722656,13.989527884982282,6,-156.37366254213262,0.0
0.0,-4068.219026853668,0.3361470699310303,2.5960336315773223,8096,-43.49623317971284,-0.030596787109971046,0.03400230407714844,2.1203232503097524e-09,-184.82087548972214,545.6921732796482,0.0070480234,0.030596789230294297,92,0.15442403540543592,-174.9909421807807,0.2549154758453369,13.41044165601766,7,-184.82087548972214,0.0
0.0,-2363.532940596918,0.29706430435180664,2.54309854017416,9108,-43.56673960199842,-0.02915877290070057,0.029657363891601562,3.239382928565959e-10,-222.51509674329958,526.9765076965276,0.0093869595,0.029158773224638862,92,-0.18722403714293678,-210.03137063603523,0.24531984329223633,12.719020372099829,8,-222.51509674329958,0.0
0.0,-3058.345936400219,0.3270275592803955,2.5058748147233203,10120,-53.46143236571073,-0.03558264300227165,0.03228354454040527,-4.005055398437207e-09,-109.39521029992274,314.40697556691947,0.008940748,0.035582638997216254,92,0.0067896357112054995,-135.02333712977514,0.25826573371887207,12.254274497819356,9,-109.39521029992272,0.0
0.0,-965.5008445652542,0.2901613712310791,2.469826920701581,11132,-53.3371464055867,-0.023292187601327896,0.02855396270751953,1.1013901790590808e-08,-79.664576928869,95.50000950962193,0.008632586,0.023292198615229687,92,-1.9131603118193437,-78.4412103578571,0.25121426582336426,11.820400807908698,10,-79.664576928869,0.0
0.0,-347.0745942301205,0.2723555564880371,2.4534564715600298,12144,-45.216747768432995,-0.022205786779522896,0.026723146438598633,1.319312303849074e-08,-70.93775493803876,30.136543254214967,0.008793523,0.022205799972645934,92,0.538417380216583,-72.493545144403,0.24463820457458496,11.628470814034916,11,-70.93775493803876,0.0
0.0,-84.47626741697731,0.3028280735015869,2.4454514575098814,13156,-47.73290823518606,-0.05971952900290489,0.029984712600708008,9.42365918632504e-09,-67.77296840720005,7.095260611273506,0.009312754,0.05971953842656408,92,0.9442570217961352,-68.16690152408891,0.24980497360229492,11.535756327268198,12,-67.77296840720005,0.0
0.0,-444.1263015757718,0.2670321464538574,2.4248510066699605,14168,-41.84039593786287,-0.04613002389669418,0.029586315155029297,7.5389277043314e-09,-69.75585428684992,42.36022011290446,0.009775145,0.04613003143562189,92,0.6010735707822281,-69.47106491245886,0.2423839569091797,11.300545587924468,13,-69.75585428684992,0.0
0.0,-864.0702412364294,0.32391810417175293,2.4122126281497036,15180,-39.602885393848986,-0.039125170558691025,0.033616065979003906,2.8859956646698492e-09,-79.67371202911907,100.8531448808779,0.008881103,0.03912517344468669,92,0.04783841789282772,-78.45846968371639,0.26227569580078125,11.15862373542165,14,-79.67371202911905,0.0
0.0,-167.26677541818614,0.2998816967010498,2.428463419435524,16192,-48.459533890551185,-0.04229898750782013,0.029052734375,3.58099043751281e-08,-64.70984740361904,12.845434551802551,0.009875522,0.042299023317724505,92,-1.7582632443422006,-69.23155943997385,0.25274014472961426,11.341441645311162,15,-64.70984740361904,0.0
